"tconst","directors","writers","id"
"tt0000001","nm0005690","\N",1
"tt0000002","nm0721526","\N",2
"tt0000003","nm0721526","\N",3
"tt0000004","nm0721526","\N",4
"tt0000005","nm0005690","\N",5
"tt0000006","nm0005690","\N",6
"tt0000007","nm0005690,nm0374658","\N",7
"tt0000008","nm0005690","\N",8
"tt0000009","nm0085156","nm0085156",9
"tt0000010","nm0525910","\N",10
"tt0000011","nm0804434","\N",11
"tt0000012","nm0525910,nm0525908","\N",12
"tt0000013","nm0525910","\N",13
"tt0000014","nm0525910","\N",14
"tt0000015","nm0721526","\N",15
"tt0000016","nm0525910","\N",16
"tt0000017","nm1587194,nm0804434","\N",17
"tt0000018","nm0804434","\N",18
"tt0000019","nm0932055","\N",19
"tt0000020","nm0010291","\N",20
"tt0000022","nm0525910","\N",21
"tt0000023","nm0525910","\N",22
"tt0000024","nm0010291","\N",23
"tt0000025","nm0010291","\N",24
"tt0000026","nm0525910","\N",25
"tt0000027","nm0525910","\N",26
"tt0000028","nm0525910","\N",27
"tt0000029","nm0525910","\N",28
"tt0000030","nm0010291,nm0666972","\N",29
"tt0000031","nm0525910","\N",30
"tt0000032","nm0804434","\N",31
"tt0000033","nm0525910","\N",32
"tt0000034","nm0617588","\N",33
"tt0000035","nm0617588","\N",34
"tt0000036","nm0005690","nm0410331",35
"tt0000037","nm0617588","\N",36
"tt0000038","nm0374658","\N",37
"tt0000039","\N","\N",38
"tt0000040","nm0617588","\N",39
"tt0000041","nm0525910","\N",40
"tt0000042","nm0617588","\N",41
"tt0000043","nm0617588","\N",42
"tt0000044","nm0617588","\N",43
"tt0000045","nm0617588","\N",44
"tt0000046","nm0617588","\N",45
"tt0000047","nm0617588","\N",46
"tt0000048","nm0010291","\N",47
"tt0000049","nm0010291","\N",48
"tt0000050","nm0617588","\N",49
"tt0000051","nm0617588","\N",50
"tt0000052","nm0895515","\N",51
"tt0000053","nm0684607","\N",52
"tt0000054","nm0617588","\N",53
"tt0000055","nm0617588","\N",54
"tt0000056","nm0795060","\N",55
"tt0000057","nm0617588","\N",56
"tt0000058","nm0617588","\N",57
"tt0000059","nm0617588","\N",58
"tt0000060","nm0005690","\N",59
"tt0000061","nm0010291","\N",60
"tt0000062","nm0617588","\N",61
"tt0000063","nm0617588","\N",62
"tt0000064","nm0617588","\N",63
"tt0000065","nm0617588","\N",64
"tt0000066","nm0617588","\N",65
"tt0000067","nm0617588","\N",66
"tt0000068","nm0617588","\N",67
"tt0000069","nm0617588","\N",68
"tt0000070","nm0525910","\N",69
"tt0000071","nm0617588","\N",70
"tt0000072","nm0617588","\N",71
"tt0000073","nm0617588","\N",72
"tt0000074","nm0617588","\N",73
"tt0000075","nm0617588","\N",74
"tt0000076","nm0005690","nm0410331",75
"tt0000077","nm0617588","\N",76
"tt0000078","nm0234288","\N",77
"tt0000079","nm0617588","\N",78
"tt0000080","nm0617588","\N",79
"tt0000081","nm0617588","\N",80
"tt0000082","nm0005690","\N",81
"tt0000083","nm0617588","\N",82
"tt0000084","nm0617588","\N",83
"tt0000085","nm0617588","\N",84
"tt0000086","nm0617588","\N",85
"tt0000087","nm0617588","\N",86
"tt0000088","nm0617588","\N",87
"tt0000089","nm0525908,nm0698645","\N",88
"tt0000090","nm0617588","\N",89
"tt0000091","nm0617588","nm0617588",90
"tt0000092","nm0617588","\N",91
"tt0000093","nm0525908,nm0525910","\N",92
"tt0000094","nm0617588","\N",93
"tt0000095","nm0617588","\N",94
"tt0000096","nm0617588","\N",95
"tt0000097","nm0617588","\N",96
"tt0000098","nm0617588","\N",97
"tt0000099","nm0617588","\N",98
"tt0000100","nm0617588","\N",99
"tt0000101","nm0617588","\N",100
