"tconst","averagerating","numvotes","id"
"tt0000001","5.6","1537",1
"tt0000002","6.1","185",2
"tt0000003","6.5","1192",3
"tt0000004","6.2","113",4
"tt0000005","6.1","1908",5
"tt0000006","5.2","102",6
"tt0000007","5.4","610",7
"tt0000008","5.4","1642",8
"tt0000009","5.4","80",9
"tt0000010","6.9","5483",10
"tt0000011","5.2","234",11
"tt0000012","7.4","9306",12
"tt0000013","5.7","1426",13
"tt0000014","7.1","4060",14
"tt0000015","6.1","735",15
"tt0000016","5.9","1067",16
"tt0000017","4.7","213",17
"tt0000018","5.4","442",18
"tt0000019","5.6","16",19
"tt0000020","5.0","244",20
"tt0000022","5.1","794",21
"tt0000023","5.6","1015",22
"tt0000024","5.3","23",23
"tt0000025","4.4","23",24
"tt0000026","5.7","1219",25
"tt0000027","5.6","835",26
"tt0000028","5.1","766",27
"tt0000029","5.9","2608",28
"tt0000030","5.3","639",29
"tt0000031","5.5","742",30
"tt0000032","5.2","311",31
"tt0000033","5.6","779",32
"tt0000034","5.4","114",33
"tt0000035","5.7","51",34
"tt0000036","4.5","448",35
"tt0000037","4.6","39",36
"tt0000038","4.1","134",37
"tt0000039","3.9","13",38
"tt0000040","4.1","34",39
"tt0000041","6.6","1297",40
"tt0000042","4.5","19",41
"tt0000043","4.0","11",42
"tt0000044","4.6","25",43
"tt0000045","4.4","16",44
"tt0000046","4.2","16",45
"tt0000047","3.6","14",46
"tt0000048","4.9","111",47
"tt0000049","5.4","22",48
"tt0000050","4.2","14",49
"tt0000051","3.9","12",50
"tt0000052","4.5","48",51
"tt0000053","2.8","8",52
"tt0000054","5.2","17",53
"tt0000055","3.9","14",54
"tt0000056","3.4","10",55
"tt0000057","4.4","13",56
"tt0000058","4.1","14",57
"tt0000059","3.7","11",58
"tt0000060","7.8","59",59
"tt0000061","4.0","13",60
"tt0000062","6.5","148",61
"tt0000063","3.7","10",62
"tt0000064","3.5","11",63
"tt0000065","3.7","11",64
"tt0000066","3.8","11",65
"tt0000067","5.8","39",66
"tt0000068","4.0","11",67
"tt0000069","4.8","313",68
"tt0000070","6.4","2056",69
"tt0000071","3.7","14",70
"tt0000072","4.2","13",71
"tt0000073","4.0","11",72
"tt0000074","4.2","15",73
"tt0000075","6.3","1383",74
"tt0000076","4.5","392",75
"tt0000077","4.8","17",76
"tt0000078","4.3","45",77
"tt0000079","4.4","17",78
"tt0000080","4.1","13",79
"tt0000081","4.1","14",80
"tt0000082","5.0","21",81
"tt0000083","4.8","16",82
"tt0000084","4.1","14",83
"tt0000085","4.8","16",84
"tt0000086","4.1","14",85
"tt0000087","4.8","17",86
"tt0000088","4.7","14",87
"tt0000089","6.2","758",88
"tt0000090","4.0","13",89
"tt0000091","6.7","2459",90
"tt0000092","4.6","11",91
"tt0000093","5.0","61",92
"tt0000094","4.2","13",93
"tt0000095","4.8","18",94
"tt0000096","4.5","11",95
"tt0000097","4.9","17",96
"tt0000098","5.5","18",97
"tt0000099","4.7","14",98
"tt0000100","4.9","30",99
"tt0000101","4.6","12",100
